Title|Links|Text|High_Priority
Compra Loja Online|https://www.reclameaqui.com.br/claro/compra-loja-online_5v5-Pu4ND45DJLK3/|Ao acessar a Loja Online da Claro, devemos clicar em INFORME SEU NÚMERO para termos acesso aos preços/descontos exclusivos de acordo com nosso plano e programa de pontos. Eu não consigo acessar pois ao digitar meu número 21 996461046 o sistema deles diz que não foi possível validar meu plano, conforme imagem em anexo. Eu já abri DEZENAS de ocorrências junto à Claro. Via e-mail, via chat, via telefone e até mesmo indo presencialmente em loja física. NINGUÉM me ajuda. Eu coloco o telefone do meu cunhado e acessa normalmente. Eu sou assinante do combo multi, pago 500,00 por mês como ele. Por que meu plano não é reconhecido pela LOJA Online? basta um funcionário deles acessar o site, digitar meu número e verão o erro. Mas a má vontade impera. Respondem os e-mails com texto padrão, automático, indicando que ninguém está lendo. Eu só quero acessar a LOJA ONLINE e COMPRAR um aparelho com desconto como qualquer cliente PÓS Pago; Poderiam me ajudar? Obrigado|True
Internet abaixo da velocidade contratada|https://www.reclameaqui.com.br/claro/internet-abaixo-da-velocidade-contratada_d2zv08s4n-sKjTM4/|Há pelo menos duas semanas minha conexão com a internet tem apresentado lentidão e intermitência em diferentes horários do dia, com velocidade muito abaixo do contratado (240 Mbps). Cheguei a solicitar uma visita técnica para o dia 29/08/2021 no horário entre 11:00 e 14:00. O técnico chegou em momento inoportuno em minha residência, durante uma reunião de trabalho, às 09:00. Diante de minha impossibilidade recebe-lo, foi embora. Em seguida recebi uma ligação da Claro em que fui informado sobre uma nova configuração para minha internet. De fato, naquele momento a velocidade correspondia e até ultrapassava a do plano contratado, conforme constatei no site Speed Test de acordo com orientação da atendente.No entanto, mais tarde no mesmo dia a velocidade voltou a cair drasticamente e assim se mantém até a data atual, 31/08/2021.Gostaria de uma solução para que eu possa utilizar a internet conforme contratada no plano, e não com lentidão ou instabilidade, visto que o próprio atendimento da Claro não constatou defeitos no meu aparelho.|False
CANCELEI PLANO / FIZ PORTABILIDADE E A OPERADORA CONTINUA MANDANDO FATURA|https://www.reclameaqui.com.br/claro/cancelei-plano-fiz-portabilidade-e-a-operadora-continua-mandando-fatura_Igp1fQassKes-qHQ/|"Prezados, estive com meu número da referida operadora por alguns anos e tenho total convicção de ter cumprido quaisquer prazos de ""fidelização"" possíveis. Ocorre que no fim do mês de julho deste ano resolvi portar meu número para outra operadora, tendo pago todas as faturas devidamente. A portabilidade foi concluída mais precisamente no dia 30 de julho, junto com ela, obviamente, cancelado qualquer vínculo com a Claro. No entanto, para minha desagradável surpresa, me deparo, agora, em meu email, com uma fatura a ser paga no valor de R$ 67, mesmo valor que pagava mensalmente pelo meu pós pago, sendo que este foi cancelado no fim de julho e a referida fatura menciona que é referente aos serviços prestados entre os dias 21/07 e 20/08. Como assim se pedi a portabilidade e o cancelamento dia 27? no máximo deveriam cobrar o serviço entre 21/07 e 27/07 (no máximo, até 30/07, quando a portabilidade foi concluída). Para aumentar o descaso, não consigo falar com nenhum atendente pois não consta meu CPF mais no cadastro da operadora. RESUMINDO: PARA SER ATENDIDO, MEU CPF NÃO CONSTA MAIS NA CLARO, MAS PARA EMITIR FATURA AINDA SOU CLIENTE! DESCASO TOTAL. EXIJO QUE CANCELEM ESSA COBRANÇA INDEVIDA E TENHAM MAIS ATENÇÃO E RESPEITO PARA COM O CLIENTE. SE TIVER A PAGAR ALGO, QUE SEJA O VALOR CORRETO APENAS DOS DIAS QUE RESTOU DE SERVIÇO, NO FIM DE JULHO!"|True
Claro Box |https://www.reclameaqui.com.br/claro/claro-box_CLTfVbCIi6BVS0xw/|Daiquiri a internet da claro e mim ofereceram a tvbox de brinde e já faz 5 meses que estão cobrando na datura|False
ALTERAÇÃO DE VALOR DO PLANO SEM AVISO PRÉVIO|https://www.reclameaqui.com.br/claro/alteracao-de-valor-do-plano-sem-aviso-previo_fbwv-xXfLA2QX3ZZ/|Fechei contrato com empresa Claro há pouco mais de um ano. Fiz um pacote com tv e internet, sobre argumento de que o valor era fixo e não sofreria aumentos, mesmo após fidelidade de 12 meses. Atendente me propôs outros pacotes, com condições melhores inclusive,  mas informou que o valor era promocional. Pacote que iria fechar oferecia menos internet e o plano de tv era básico , mas não sofreria essas alterações no valor. Foi portanto valor decisivo para finalizar. Durante 12 meses utilizei do serviço, até que esse mês ao ir pagar boleto percebi que valores do pacote de internet haviam aumentado em mais que o dobro. Entrei em contato com operadora que me orientou que nada  poderia ser feito, tendo em vista que o cotrato previa promoção durante um ano.  Assim o aumento era previsto. Primeiro fator que fere o CDC , apesar de ser um contrato de adesão: devo ter conheciento do mesmo. Nunca recebi. Segundo que o código exige que qualquer alteração nos valores deve ser previamente informada. Nunca recebi nada até ter conhecimento da fatura no seu vencimento, já com aumento. Tendo em vista principais indagações acima, reitero minha indignação com a empresa e seus serviços. Já que não somos informados das condições do tal contrato, o correto seria que esse fosse enviado ao consuidor para que tenha ciência. Nada foi feito no meu caso, apenas recebi informação que nada pode ser feito quanto ao valor da fatura.  Me vejo obrigada a pagar por um serviço que nitidamente feriu as regras de informação do CDC e não estava ciente. Desejo uma solução da Claro, resposta quanto a indgnação de mais uma cliente enganada no momento da venda e que agora se vê obrigada a arcar com valor que não estava programado. |False
6 tentativas de Cancelamento  e nada resolvido! |https://www.reclameaqui.com.br/claro/6-tentativas-de-cancelamento-e-nada-resolvido_cw17WwjxrBxXfznO/|Em julho de 2021 mudei de estado e solicitei o cancelamento do serviço de internet da claro net via telefone e site. Em vez de cancelar eles realizaram uma mudança de plano. Já entrei em contato mais de 5x para resolver a situação. Liguei novamente início de agosto e realizaram o cancelamento inclusive enviaram e-mail confirmando a minha solicitação, porém hoje 31/08/2021 chega um e-mail informando uma fatura em aberto.  Estou esgotada de lidar com essa situação! Nas ligações que faço sou informada que o cancelamento foi realizado, mas no mês seguinte chega fatura. EU PRECISO QUE: Realizem o cancelamento Cancelem a fatura em aberto, pois não estou utilizando mais o serviço.Obs: Foi realizada  tentativa de  entrega do equipamento, porém constava que ainda estava ativo o plano, a pessoa que ficou encarregada de fazer isso deu viagem perdida. Não sei mais o que fazer ! |True
Envio de SMS cancelado automaticamente.|https://www.reclameaqui.com.br/claro/envio-de-sms-cancelado-automaticamente_98MiIaoCbAfWiarA/|Enviei a palavra SAIR para 888 da operadora Claro a fim de que a mesma pare de enviar mensagens com oferta de serviços mas o envio do SMS foi cancelado automaticamente. Que droga é essa que não funciona?|False
CLARO BOX NÃO ENTREGUE|https://www.reclameaqui.com.br/claro/claro-box-nao-entregue_6eji8YuVfZnxiSJl/|No dia 28/08/2021 comprei um Claro Box na loja Claro localizada no Shopping Praia Mar na cidade de Santos/SP conforme contrato 004/01157937-5.A previsão de entrega foi para o dia 31/08/2021 entre as 08.00 e 12.00 horas. Fiquei aguardando a entrega porem a mesma não aconteceu.Entrei em contato com a Claro pelo telefone 10621 questionando a não entrega e segundo a Operadora o equipamento foi entregue. Essa afirmativa não procede. Não recebi nenhum equipamento.Desejo que seja efetuada a entrega ou o contrato seja rescindido descumprimento por parte da Operadora.|False
Bagunça no atendimento e nao entrega o serviço|https://www.reclameaqui.com.br/claro/bagunca-no-atendimento-e-nao-entrega-o-servico_dlk4BI8lVTykzwim/|Sou cliente da claro net e toda vez que preciso resolver um problema, mao consigo. Nunca atualizam as informações e passam a te ligar pra confirmar uma solicitação que ja foi feita, caus confusão e nunca resolvem o problema. Dizem que esta resolvido mas o problema persiste. Solicitei a visita tecnica para troca do modem em razao de um novo pacote de internet. O tecnico veio ate minha casa, desinstalou o modem que estava funcionando, nao instalou o novo modem e foi embora me deixando sem internet. O tecnico disse por telefone que o problema seria resolvido e que outro tecnico seria enviado, mas nao apareceu ninguém e nao me deram nenhuma satisfação. Tive que ligsr no sac pra tentar resolver e agendar uma nova visita. Mas estou sem internet e se nao fosse por iniciativa minha, mao teria retorno. Contratei um serviço que nao foi entreguebe nao me foo dado nemhuma satisfação.|False
Me empurraram uma TV Box que não uso falando que não ia cobrar a mais e cobraram|https://www.reclameaqui.com.br/claro/me-empurraram-uma-tv-box-que-nao-uso-falando-que-nao-ia-cobrar-a-mais-e-cob_xo5sf5k6WjRXxDnA/|Fiz a assinatura de um plano de internet por 118 reais. Me apareceu uma atendente me oferecendo a porcaria de uma TV Box que segundo ela era gratuita e que não acresceria meu valor. Nem cheguei a usar e guardei. Pois bem que pra minha surpresa meu plano foi pra 200 reais e passaram a cobrar a porcaria da TV Box. Quero sair da Claro. Não entrem. Ficam empurrando coisa falando que é de graça e te cobram depois.|True
